config,query,kernel_total_ms,sync_total_ms,sync_per_kernel,h2d_bytes,kernel_gap_p50_us,kernel_gap_p95_us,top5_kernels
enc_region,19,519.12,2058.67,3.966,64802863,102.6,2231.1,sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|95406691|830;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|78534413|1636;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|78157788|212;void cub::detail::transform::transform_kernel<cub::detail::t|30151155|967;void cub::detail::for_each::static_kernel<cub::detail::for_e|24670194|239
enc_region,2,87.48,293.59,3.356,8212843,108.2,2787.1,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|25864282|19;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|16403175|139;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|13158252|19;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|10142833|26;sirius::cuda::scan::kernel_compute_lengths_fsst(const sirius|4757626|11
enc_region,20,185.37,806.5,4.351,34546407,252.9,2386.0,void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|55778310|581;sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|16119135|15;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|14589950|41;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|13006082|171;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|10206538|41
enc_region,21,1004.15,6687.31,6.66,73301808,336.7,7243.3,void cudf::detail::mixed_join<(bool)0>(cudf::table_device_vi|217142343|64;void cudf::detail::mixed_join_count<(bool)0>(cudf::table_dev|184009843|64;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|96602568|76;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|90990938|809;void cuco::detail::open_addressing_ns::insert_if_n<(int)1, (|78813075|64
enc_region,22,130.84,272.97,2.086,5197785,142.7,5533.4,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|35406873|6;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|22614547|6;sirius::cuda::scan::kernel_compute_lengths_fsst(const sirius|13477287|11;void cuco::detail::open_addressing_ns::insert_if_n<(int)1, (|11234154|2;sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|10165357|11
enc_region,3,470.61,2653.98,5.639,33914558,225.0,2130.4,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|117183266|154;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|89103275|244;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|71877541|235;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|54012516|585;void cub::detail::transform::transform_kernel<cub::detail::t|23705116|297
enc_region,4,200.97,983.44,4.893,26628012,451.7,8361.9,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|51279019|27;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|30878510|27;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|26973170|243;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|17489606|145;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|12058796|47
enc_region,5,341.5,1530.57,4.482,33861602,285.6,3597.4,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|115070977|89;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|89608012|121;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|72787981|849;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|29039637|106;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|5353687|44
enc_region,6,141.95,1261.9,8.89,28139531,524.1,2456.9,void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|46401228|507;void cub::detail::for_each::static_kernel<cub::detail::for_e|33508394|180;void cub::detail::for_each::static_kernel<cub::detail::for_e|12946959|90;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|12868938|169;void cub::detail::for_each::static_kernel<cub::detail::for_e|12593447|90
enc_region,7,333.74,1417.3,4.247,39299383,185.3,2183.0,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|81887381|137;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|72622228|941;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|57099168|162;void cub::detail::transform::transform_kernel<cub::detail::t|18870469|265;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|14703915|227
enc_region,8,288.08,1067.81,3.707,41437239,195.8,4031.6,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|98215827|82;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|94287714|1298;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|58145403|92;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|6699761|54;void cub::detail::transform::transform_kernel<cub::detail::t|6186190|381
